[20:02:06.470] [INFO   ] thread bguspl.set.Main.main() starting.
[20:02:06.483] [SEVERE ] cannot read configuration file config.properties trying from resources.
[20:02:11.257] [SEVERE ] updating countdown to 56686
[20:02:11.268] [SEVERE ] updating countdown to 56675
[20:02:11.279] [SEVERE ] updating countdown to 56664
[20:02:11.290] [SEVERE ] updating countdown to 56653
[20:02:11.300] [SEVERE ] updating countdown to 56643
[20:02:11.311] [SEVERE ] updating countdown to 56632
[20:02:11.322] [SEVERE ] updating countdown to 56621
[20:02:11.333] [SEVERE ] updating countdown to 56610
[20:02:11.344] [SEVERE ] updating countdown to 56599
[20:02:11.356] [SEVERE ] updating countdown to 56587
[20:02:11.367] [SEVERE ] updating countdown to 56576
[20:02:11.378] [SEVERE ] updating countdown to 56565
[20:02:11.389] [SEVERE ] updating countdown to 56554
[20:02:11.400] [SEVERE ] updating countdown to 56544
[20:02:11.410] [SEVERE ] updating countdown to 56533
[20:02:11.421] [SEVERE ] updating countdown to 56522
[20:02:11.432] [SEVERE ] updating countdown to 56511
[20:02:11.443] [SEVERE ] updating countdown to 56500
[20:02:11.453] [SEVERE ] updating countdown to 56490
[20:02:11.465] [SEVERE ] updating countdown to 56478
[20:02:11.476] [SEVERE ] updating countdown to 56467
[20:02:11.487] [SEVERE ] updating countdown to 56456
[20:02:11.498] [SEVERE ] updating countdown to 56445
[20:02:11.509] [SEVERE ] updating countdown to 56434
[20:02:11.520] [SEVERE ] updating countdown to 56423
[20:02:11.531] [SEVERE ] updating countdown to 56412
[20:02:11.542] [SEVERE ] updating countdown to 56401
[20:02:11.553] [SEVERE ] updating countdown to 56390
[20:02:11.564] [SEVERE ] updating countdown to 56379
[20:02:11.575] [SEVERE ] updating countdown to 56368
[20:02:11.586] [SEVERE ] updating countdown to 56357
[20:02:11.597] [SEVERE ] updating countdown to 56346
[20:02:11.612] [SEVERE ] updating countdown to 56331
[20:02:11.623] [SEVERE ] updating countdown to 56320
[20:02:11.634] [SEVERE ] updating countdown to 56309
[20:02:11.645] [SEVERE ] updating countdown to 56298
[20:02:11.656] [SEVERE ] updating countdown to 56287
[20:02:11.668] [SEVERE ] updating countdown to 56275
[20:02:11.680] [SEVERE ] updating countdown to 56264
[20:02:11.692] [SEVERE ] updating countdown to 56252
[20:02:11.703] [SEVERE ] updating countdown to 56240
[20:02:11.715] [SEVERE ] updating countdown to 56228
[20:02:11.725] [SEVERE ] updating countdown to 56218
[20:02:11.748] [SEVERE ] updating countdown to 56195
[20:02:11.760] [SEVERE ] updating countdown to 56183
[20:02:11.771] [SEVERE ] updating countdown to 56172
[20:02:11.782] [SEVERE ] updating countdown to 56161
[20:02:11.793] [SEVERE ] updating countdown to 56150
[20:02:11.805] [SEVERE ] updating countdown to 56138
[20:02:11.816] [SEVERE ] updating countdown to 56127
[20:02:11.827] [SEVERE ] updating countdown to 56116
[20:02:11.838] [SEVERE ] updating countdown to 56105
[20:02:11.850] [SEVERE ] updating countdown to 56093
[20:02:11.861] [SEVERE ] updating countdown to 56082
[20:02:11.872] [SEVERE ] updating countdown to 56071
[20:02:11.882] [SEVERE ] updating countdown to 56061
[20:02:11.893] [SEVERE ] updating countdown to 56050
[20:02:11.904] [SEVERE ] updating countdown to 56039
[20:02:11.914] [SEVERE ] updating countdown to 56029
[20:02:11.925] [SEVERE ] updating countdown to 56018
[20:02:11.936] [SEVERE ] updating countdown to 56007
[20:02:11.948] [SEVERE ] updating countdown to 55995
[20:02:11.959] [SEVERE ] updating countdown to 55984
[20:02:11.970] [SEVERE ] updating countdown to 55973
[20:02:11.980] [SEVERE ] updating countdown to 55963
[20:02:11.991] [SEVERE ] updating countdown to 55952
[20:02:12.002] [SEVERE ] updating countdown to 55941
[20:02:12.015] [SEVERE ] updating countdown to 55928
[20:02:12.025] [SEVERE ] updating countdown to 55918
[20:02:12.036] [SEVERE ] updating countdown to 55907
[20:02:12.048] [SEVERE ] updating countdown to 55895
[20:02:12.059] [SEVERE ] updating countdown to 55884
[20:02:12.070] [SEVERE ] updating countdown to 55873
[20:02:12.080] [SEVERE ] updating countdown to 55863
[20:02:12.092] [SEVERE ] updating countdown to 55851
[20:02:12.103] [SEVERE ] updating countdown to 55840
[20:02:12.113] [SEVERE ] updating countdown to 55830
[20:02:12.124] [SEVERE ] updating countdown to 55819
[20:02:12.135] [SEVERE ] updating countdown to 55808
[20:02:12.147] [SEVERE ] updating countdown to 55796
[20:02:12.158] [SEVERE ] updating countdown to 55785
[20:02:12.169] [SEVERE ] updating countdown to 55774
[20:02:12.181] [SEVERE ] updating countdown to 55762
[20:02:12.192] [SEVERE ] updating countdown to 55751
[20:02:12.203] [SEVERE ] updating countdown to 55740
[20:02:12.213] [SEVERE ] updating countdown to 55730
[20:02:12.227] [SEVERE ] updating countdown to 55716
[20:02:12.238] [SEVERE ] updating countdown to 55705
[20:02:12.255] [SEVERE ] updating countdown to 55688
[20:02:12.266] [SEVERE ] updating countdown to 55677
[20:02:12.277] [SEVERE ] updating countdown to 55666
[20:02:12.288] [SEVERE ] updating countdown to 55655
[20:02:12.299] [SEVERE ] updating countdown to 55644
[20:02:12.310] [SEVERE ] updating countdown to 55633
[20:02:12.321] [SEVERE ] updating countdown to 55622
[20:02:12.331] [SEVERE ] updating countdown to 55612
[20:02:12.342] [SEVERE ] updating countdown to 55601
[20:02:12.353] [SEVERE ] updating countdown to 55590
[20:02:12.363] [SEVERE ] updating countdown to 55580
[20:02:12.374] [SEVERE ] updating countdown to 55569
[20:02:12.384] [SEVERE ] updating countdown to 55559
[20:02:12.395] [SEVERE ] updating countdown to 55548
[20:02:12.405] [SEVERE ] updating countdown to 55538
[20:02:12.416] [SEVERE ] updating countdown to 55527
[20:02:12.427] [SEVERE ] updating countdown to 55516
[20:02:12.437] [SEVERE ] updating countdown to 55506
[20:02:12.448] [SEVERE ] updating countdown to 55495
[20:02:12.458] [SEVERE ] updating countdown to 55485
[20:02:12.468] [SEVERE ] updating countdown to 55475
[20:02:12.479] [SEVERE ] updating countdown to 55464
[20:02:12.490] [SEVERE ] updating countdown to 55453
[20:02:12.500] [SEVERE ] updating countdown to 55443
[20:02:12.511] [SEVERE ] updating countdown to 55432
[20:02:12.522] [SEVERE ] updating countdown to 55421
[20:02:12.533] [SEVERE ] updating countdown to 55410
[20:02:12.543] [SEVERE ] updating countdown to 55400
[20:02:12.554] [SEVERE ] updating countdown to 55389
[20:02:12.564] [SEVERE ] updating countdown to 55379
[20:02:12.575] [SEVERE ] updating countdown to 55368
[20:02:12.586] [SEVERE ] updating countdown to 55357
[20:02:12.597] [SEVERE ] updating countdown to 55346
[20:02:12.608] [SEVERE ] updating countdown to 55335
[20:02:12.618] [SEVERE ] updating countdown to 55325
[20:02:12.640] [SEVERE ] updating countdown to 55303
[20:02:12.650] [SEVERE ] updating countdown to 55293
[20:02:12.661] [SEVERE ] updating countdown to 55282
[20:02:12.672] [SEVERE ] updating countdown to 55271
[20:02:12.683] [SEVERE ] updating countdown to 55260
[20:02:12.693] [SEVERE ] updating countdown to 55250
[20:02:12.704] [SEVERE ] updating countdown to 55239
[20:02:12.715] [SEVERE ] updating countdown to 55228
[20:02:12.725] [SEVERE ] updating countdown to 55218
[20:02:12.736] [SEVERE ] updating countdown to 55207
[20:02:12.747] [SEVERE ] updating countdown to 55196
[20:02:12.758] [SEVERE ] updating countdown to 55185
[20:02:12.769] [SEVERE ] updating countdown to 55174
[20:02:12.780] [SEVERE ] updating countdown to 55163
[20:02:12.791] [SEVERE ] updating countdown to 55152
[20:02:12.801] [SEVERE ] updating countdown to 55142
[20:02:12.812] [SEVERE ] updating countdown to 55131
[20:02:12.823] [SEVERE ] updating countdown to 55120
[20:02:12.834] [SEVERE ] updating countdown to 55109
[20:02:12.845] [SEVERE ] updating countdown to 55098
[20:02:12.855] [SEVERE ] updating countdown to 55088
[20:02:12.866] [SEVERE ] updating countdown to 55077
[20:02:12.877] [SEVERE ] updating countdown to 55066
[20:02:12.888] [SEVERE ] updating countdown to 55055
[20:02:12.899] [SEVERE ] updating countdown to 55044
[20:02:12.910] [SEVERE ] updating countdown to 55033
[20:02:12.921] [SEVERE ] updating countdown to 55022
[20:02:12.932] [SEVERE ] updating countdown to 55011
[20:02:12.943] [SEVERE ] updating countdown to 55000
[20:02:12.954] [SEVERE ] updating countdown to 54989
[20:02:12.965] [SEVERE ] updating countdown to 54978
[20:02:12.975] [SEVERE ] updating countdown to 54968
[20:02:12.986] [SEVERE ] updating countdown to 54957
[20:02:12.997] [SEVERE ] updating countdown to 54946
[20:02:13.007] [SEVERE ] updating countdown to 54936
[20:02:13.018] [SEVERE ] updating countdown to 54925
[20:02:13.029] [SEVERE ] updating countdown to 54914
[20:02:13.040] [SEVERE ] updating countdown to 54903
[20:02:13.051] [SEVERE ] updating countdown to 54892
[20:02:13.061] [SEVERE ] updating countdown to 54882
[20:02:13.072] [SEVERE ] updating countdown to 54871
[20:02:13.083] [SEVERE ] updating countdown to 54860
[20:02:13.094] [SEVERE ] updating countdown to 54849
[20:02:13.104] [SEVERE ] updating countdown to 54839
[20:02:13.118] [SEVERE ] updating countdown to 54825
[20:02:13.130] [SEVERE ] updating countdown to 54813
[20:02:13.144] [SEVERE ] updating countdown to 54799
[20:02:13.155] [SEVERE ] updating countdown to 54788
[20:02:13.165] [SEVERE ] updating countdown to 54778
[20:02:13.176] [SEVERE ] updating countdown to 54767
[20:02:13.188] [SEVERE ] updating countdown to 54755
[20:02:13.200] [SEVERE ] updating countdown to 54743
[20:02:13.211] [SEVERE ] updating countdown to 54732
[20:02:13.221] [SEVERE ] updating countdown to 54722
[20:02:13.232] [SEVERE ] updating countdown to 54711
[20:02:13.243] [SEVERE ] updating countdown to 54700
[20:02:13.254] [SEVERE ] updating countdown to 54689
[20:02:13.265] [SEVERE ] updating countdown to 54678
[20:02:13.276] [SEVERE ] updating countdown to 54667
[20:02:13.286] [SEVERE ] updating countdown to 54657
[20:02:13.297] [SEVERE ] updating countdown to 54646
[20:02:13.308] [SEVERE ] updating countdown to 54635
[20:02:13.319] [SEVERE ] updating countdown to 54624
[20:02:13.329] [SEVERE ] updating countdown to 54614
[20:02:13.340] [SEVERE ] updating countdown to 54603
[20:02:13.352] [SEVERE ] updating countdown to 54591
[20:02:13.362] [SEVERE ] updating countdown to 54581
[20:02:13.373] [SEVERE ] updating countdown to 54570
[20:02:13.384] [SEVERE ] updating countdown to 54559
[20:02:13.395] [SEVERE ] updating countdown to 54548
[20:02:13.406] [SEVERE ] updating countdown to 54537
[20:02:13.416] [SEVERE ] updating countdown to 54527
[20:02:13.427] [SEVERE ] updating countdown to 54516
[20:02:13.438] [SEVERE ] updating countdown to 54505
[20:02:13.449] [SEVERE ] updating countdown to 54494
[20:02:13.459] [SEVERE ] updating countdown to 54484
[20:02:13.470] [SEVERE ] updating countdown to 54473
[20:02:13.481] [SEVERE ] updating countdown to 54462
[20:02:13.492] [SEVERE ] updating countdown to 54451
[20:02:13.503] [SEVERE ] updating countdown to 54440
[20:02:13.514] [SEVERE ] updating countdown to 54429
[20:02:13.525] [SEVERE ] updating countdown to 54418
[20:02:13.536] [SEVERE ] updating countdown to 54407
[20:02:13.546] [SEVERE ] updating countdown to 54397
[20:02:13.557] [SEVERE ] updating countdown to 54386
[20:02:13.567] [SEVERE ] updating countdown to 54376
[20:02:13.578] [SEVERE ] updating countdown to 54365
[20:02:13.588] [SEVERE ] updating countdown to 54355
[20:02:13.599] [SEVERE ] updating countdown to 54344
[20:02:13.610] [SEVERE ] updating countdown to 54333
[20:02:13.620] [SEVERE ] updating countdown to 54323
[20:02:13.631] [SEVERE ] updating countdown to 54312
[20:02:13.641] [SEVERE ] updating countdown to 54302
[20:02:13.652] [SEVERE ] updating countdown to 54291
[20:02:13.664] [SEVERE ] updating countdown to 54279
[20:02:13.674] [SEVERE ] updating countdown to 54269
[20:02:13.685] [SEVERE ] updating countdown to 54258
[20:02:13.695] [SEVERE ] updating countdown to 54248
[20:02:13.706] [SEVERE ] updating countdown to 54237
[20:02:13.718] [SEVERE ] updating countdown to 54225
[20:02:13.729] [SEVERE ] updating countdown to 54214
[20:02:13.740] [SEVERE ] updating countdown to 54203
[20:02:13.751] [SEVERE ] updating countdown to 54192
[20:02:13.762] [SEVERE ] updating countdown to 54181
[20:02:13.773] [SEVERE ] updating countdown to 54170
[20:02:13.784] [SEVERE ] updating countdown to 54159
[20:02:13.795] [SEVERE ] updating countdown to 54148
[20:02:13.806] [SEVERE ] updating countdown to 54137
[20:02:13.817] [SEVERE ] updating countdown to 54126
[20:02:13.828] [SEVERE ] updating countdown to 54115
[20:02:13.839] [SEVERE ] updating countdown to 54104
[20:02:13.849] [SEVERE ] updating countdown to 54094
[20:02:13.860] [SEVERE ] updating countdown to 54083
[20:02:13.870] [SEVERE ] updating countdown to 54073
[20:02:13.881] [SEVERE ] updating countdown to 54062
[20:02:13.891] [SEVERE ] updating countdown to 54052
[20:02:13.902] [SEVERE ] updating countdown to 54041
[20:02:13.912] [SEVERE ] updating countdown to 54031
[20:02:13.923] [SEVERE ] updating countdown to 54020
[20:02:13.933] [SEVERE ] updating countdown to 54010
[20:02:13.944] [SEVERE ] updating countdown to 53999
[20:02:13.955] [SEVERE ] updating countdown to 53988
[20:02:13.965] [SEVERE ] updating countdown to 53978
[20:02:13.976] [SEVERE ] updating countdown to 53967
[20:02:13.986] [SEVERE ] updating countdown to 53957
[20:02:13.997] [SEVERE ] updating countdown to 53946
[20:02:14.008] [SEVERE ] updating countdown to 53935
[20:02:14.019] [SEVERE ] updating countdown to 53924
[20:02:14.029] [SEVERE ] updating countdown to 53914
[20:02:14.040] [SEVERE ] updating countdown to 53903
[20:02:14.050] [SEVERE ] updating countdown to 53893
[20:02:14.061] [SEVERE ] updating countdown to 53882
[20:02:14.071] [SEVERE ] updating countdown to 53872
[20:02:14.082] [SEVERE ] updating countdown to 53861
[20:02:14.092] [SEVERE ] updating countdown to 53851
[20:02:14.103] [SEVERE ] updating countdown to 53840
[20:02:14.114] [SEVERE ] updating countdown to 53829
[20:02:14.125] [SEVERE ] updating countdown to 53818
[20:02:14.135] [SEVERE ] updating countdown to 53808
[20:02:14.196] [SEVERE ] updating countdown to 53747
[20:02:14.235] [SEVERE ] updating countdown to 53708
[20:02:14.246] [SEVERE ] updating countdown to 53697
[20:02:14.256] [SEVERE ] updating countdown to 53687
[20:02:14.267] [SEVERE ] updating countdown to 53676
[20:02:14.278] [SEVERE ] updating countdown to 53665
[20:02:14.288] [SEVERE ] updating countdown to 53655
[20:02:14.299] [SEVERE ] updating countdown to 53644
[20:02:14.310] [SEVERE ] updating countdown to 53633
[20:02:14.320] [SEVERE ] updating countdown to 53623
[20:02:14.331] [SEVERE ] updating countdown to 53612
[20:02:14.342] [SEVERE ] updating countdown to 53601
[20:02:14.353] [SEVERE ] updating countdown to 53590
[20:02:14.364] [SEVERE ] updating countdown to 53579
[20:02:14.376] [SEVERE ] updating countdown to 53567
[20:02:14.387] [SEVERE ] updating countdown to 53556
[20:02:14.398] [SEVERE ] updating countdown to 53545
[20:02:14.408] [SEVERE ] updating countdown to 53535
[20:02:14.419] [SEVERE ] updating countdown to 53524
[20:02:14.430] [SEVERE ] updating countdown to 53513
[20:02:14.441] [SEVERE ] updating countdown to 53502
[20:02:14.452] [SEVERE ] updating countdown to 53491
[20:02:14.462] [SEVERE ] updating countdown to 53481
[20:02:14.473] [SEVERE ] updating countdown to 53470
[20:02:14.484] [SEVERE ] updating countdown to 53459
[20:02:14.495] [SEVERE ] updating countdown to 53448
[20:02:14.505] [SEVERE ] updating countdown to 53438
[20:02:14.516] [SEVERE ] updating countdown to 53427
[20:02:14.527] [SEVERE ] updating countdown to 53416
[20:02:14.538] [SEVERE ] updating countdown to 53405
[20:02:14.549] [SEVERE ] updating countdown to 53394
[20:02:14.559] [SEVERE ] updating countdown to 53384
[20:02:14.570] [SEVERE ] updating countdown to 53373
[20:02:14.580] [SEVERE ] updating countdown to 53363
[20:02:14.591] [SEVERE ] updating countdown to 53352
[20:02:14.601] [SEVERE ] updating countdown to 53342
[20:02:14.612] [SEVERE ] updating countdown to 53331
[20:02:14.623] [SEVERE ] updating countdown to 53320
[20:02:14.634] [SEVERE ] updating countdown to 53309
[20:02:14.644] [SEVERE ] updating countdown to 53299
[20:02:14.655] [SEVERE ] updating countdown to 53288
[20:02:14.665] [SEVERE ] updating countdown to 53278
[20:02:14.676] [SEVERE ] updating countdown to 53267
[20:02:14.687] [SEVERE ] updating countdown to 53256
[20:02:14.697] [SEVERE ] updating countdown to 53246
[20:02:14.708] [SEVERE ] updating countdown to 53235
[20:02:14.719] [SEVERE ] updating countdown to 53224
[20:02:14.736] [SEVERE ] updating countdown to 53207
[20:02:14.747] [SEVERE ] updating countdown to 53196
[20:02:14.758] [SEVERE ] updating countdown to 53185
[20:02:14.768] [SEVERE ] updating countdown to 53175
[20:02:14.779] [SEVERE ] updating countdown to 53164
[20:02:14.790] [SEVERE ] updating countdown to 53153
[20:02:14.800] [SEVERE ] updating countdown to 53143
[20:02:14.811] [SEVERE ] updating countdown to 53132
[20:02:14.822] [SEVERE ] updating countdown to 53121
[20:02:14.832] [SEVERE ] updating countdown to 53111
[20:02:14.843] [SEVERE ] updating countdown to 53100
